"PROBE_ID"	"Symbol"
"273"	"ILMN_1708486"	"CNN2"
"274"	"ILMN_1782439"	"CNN3"
"275"	"ILMN_2252408"	"CNPY4"
"276"	"ILMN_3232894"	"CNRIP1"
"277"	"ILMN_2182148"	"CNRIP1"
"278"	"ILMN_1692398"	"CNTNAP1"
"279"	"ILMN_1683065"	"COA5"
"280"	"ILMN_1761260"	"COBLL1"
"281"	"ILMN_1789507"	"COL11A1"
"282"	"ILMN_2392803"	"COL11A1"
"283"	"ILMN_1733756"	"COL12A1"
"284"	"ILMN_1684554"	"COL16A1"
"285"	"ILMN_1706505"	"COL5A1"
"286"	"ILMN_1729117"	"COL5A2"
"287"	"ILMN_1706643"	"COL6A3"
"288"	"ILMN_2307861"	"COL6A3"
"289"	"ILMN_1751161"	"COL7A1"
"290"	"ILMN_1685433"	"COL8A1"
"291"	"ILMN_2402392"	"COL8A1"
"292"	"ILMN_1677636"	"COMP"
"293"	"ILMN_1745954"	"CORO1C"
"294"	"ILMN_1654545"	"CPSF1"
"295"	"ILMN_1690170"	"CRABP2"
"296"	"ILMN_1841334"	"CREB1"
"297"	"ILMN_1751097"	"CREB3L2"
"298"	"ILMN_1731714"	"CREB5"
"299"	"ILMN_1694432"	"CRIP2"
"300"	"ILMN_2140700"	"CRIPAK"
"301"	"ILMN_1729216"	"CRYAB"
"302"	"ILMN_1762115"	"CRYZL1"
"303"	"ILMN_2119692"	"CSAD"
"304"	"ILMN_1806787"	"CSDC2"
"305"	"ILMN_1775432"	"CSMD2"
"306"	"ILMN_1706521"	"CSNK1G2"
"307"	"ILMN_1723843"	"CSNK2A2"
"308"	"ILMN_1666894"	"CSPG4"
"309"	"ILMN_1811921"	"CSRP1"
"310"	"ILMN_3250209"	"CTBP2"
"311"	"ILMN_1728163"	"CTDSP1"
"312"	"ILMN_1692962"	"CTDSP2"
"313"	"ILMN_2392189"	"CTDSPL"
"314"	"ILMN_2117508"	"CTHRC1"
"315"	"ILMN_2359742"	"CTSB"
"316"	"ILMN_1696360"	"CTSB"
"317"	"ILMN_1759766"	"CTXN1"
"318"	"ILMN_1676665"	"CUEDC1"
"319"	"ILMN_2385161"	"CUL4B"
"320"	"ILMN_1765044"	"CUTC"
"321"	"ILMN_1791759"	"CXCL10"
"322"	"ILMN_2067890"	"CXCL11"
"323"	"ILMN_1803825"	"CXCL12"
"324"	"ILMN_1791447"	"CXCL12"
"325"	"ILMN_1728478"	"CXCL16"
"326"	"ILMN_1798360"	"CXCR7"
"327"	"ILMN_3307729"	"CXXC5"
"328"	"ILMN_1745256"	"CXXC5"
"329"	"ILMN_1693338"	"CYP1B1"
"330"	"ILMN_2160727"	"CYTH3"
"331"	"ILMN_2206272"	"D2HGDH"
"332"	"ILMN_1752668"	"DAAM2"
"333"	"ILMN_2128428"	"DAB2"
"334"	"ILMN_1764228"	"DAB2"
"335"	"ILMN_2328094"	"DACT1"
"336"	"ILMN_1801068"	"DACT1"
"337"	"ILMN_1733851"	"DACT3"
"338"	"ILMN_1676191"	"DARS2"
"339"	"ILMN_1769926"	"DBN1"
"340"	"ILMN_1698307"	"DBNL"
"341"	"ILMN_1670000"	"DCAF6"
"342"	"ILMN_1811648"	"DCAKD"
"343"	"ILMN_1695604"	"DCBLD1"
"344"	"ILMN_2174127"	"DCBLD2"
"345"	"ILMN_1735499"	"DCBLD2"
"346"	"ILMN_2407434"	"DCLK2"
"347"	"ILMN_1719449"	"DCLK2"
"348"	"ILMN_1676984"	"DDIT3"
"349"	"ILMN_1661599"	"DDIT4"
"350"	"ILMN_2410523"	"DDR2"
"351"	"ILMN_1747303"	"DDX39A"
"352"	"ILMN_1727001"	"DDX46"
"353"	"ILMN_1797001"	"DDX58"
"354"	"ILMN_1795181"	"DDX60"
"355"	"ILMN_3243928"	"DDX60L"
"356"	"ILMN_1659029"	"DENND6B"
"357"	"ILMN_1756685"	"DEPTOR"
"358"	"ILMN_1698995"	"DES"
"359"	"ILMN_1752478"	"DHRS3"
"360"	"ILMN_3187771"	"DHRS4-AS1"
"361"	"ILMN_3261811"	"DHRS4-AS1"
"362"	"ILMN_1678422"	"DHX58"
"363"	"ILMN_1737650"	"DIO2"
"364"	"ILMN_1795822"	"DIS3L"
"365"	"ILMN_1736704"	"DIXDC1"
"366"	"ILMN_2375830"	"DIXDC1"
"367"	"ILMN_2174189"	"DKK1"
"368"	"ILMN_1773337"	"DKK1"
"369"	"ILMN_1698020"	"DLC1"
"370"	"ILMN_1736096"	"DLL3"
"371"	"ILMN_1672496"	"DNAJA1"
"372"	"ILMN_1776998"	"DNAJA4"
"373"	"ILMN_1775304"	"DNAJB1"
"374"	"ILMN_2222317"	"DNAJB4"
"375"	"ILMN_1773742"	"DNAJB9"
"376"	"ILMN_1702301"	"DOCK10"
"377"	"ILMN_1765860"	"DOCK11"
"378"	"ILMN_2180239"	"DOPEY2"
"379"	"ILMN_1672503"	"DPYSL2"
"380"	"ILMN_1679262"	"DPYSL3"
"381"	"ILMN_2112301"	"DRAP1"
"382"	"ILMN_1706498"	"DSE"
"383"	"ILMN_2167915"	"DSEL"
"384"	"ILMN_1655614"	"DSP"
"385"	"ILMN_2287157"	"DST"
"386"	"ILMN_1794294"	"DSTN"
"387"	"ILMN_1740861"	"DTWD1"
"388"	"ILMN_1776858"	"DUS4L"
"389"	"ILMN_2343310"	"DYNC2H1"
"390"	"ILMN_2374244"	"DYRK2"
"391"	"ILMN_1794588"	"DYRK2"
"392"	"ILMN_2051469"	"E2F1"
"393"	"ILMN_1778681"	"EBF1"
"394"	"ILMN_1761131"	"ECI2"
