"PROBE_ID"	"Symbol"
"373"	"ILMN_1752668"	"DAAM2"
"374"	"ILMN_2128428"	"DAB2"
"375"	"ILMN_1764228"	"DAB2"
"376"	"ILMN_2328094"	"DACT1"
"377"	"ILMN_1801068"	"DACT1"
"378"	"ILMN_1733851"	"DACT3"
"379"	"ILMN_1676191"	"DARS2"
"380"	"ILMN_1769926"	"DBN1"
"381"	"ILMN_1757270"	"DBN1"
"382"	"ILMN_1698307"	"DBNL"
"383"	"ILMN_1670000"	"DCAF6"
"384"	"ILMN_1811648"	"DCAKD"
"385"	"ILMN_1695604"	"DCBLD1"
"386"	"ILMN_2174127"	"DCBLD2"
"387"	"ILMN_1735499"	"DCBLD2"
"388"	"ILMN_2407434"	"DCLK2"
"389"	"ILMN_1719449"	"DCLK2"
"390"	"ILMN_1668507"	"DDAH1"
"391"	"ILMN_1676984"	"DDIT3"
"392"	"ILMN_1661599"	"DDIT4"
"393"	"ILMN_2410523"	"DDR2"
"394"	"ILMN_1741736"	"DDX28"
"395"	"ILMN_1747303"	"DDX39A"
"396"	"ILMN_1727001"	"DDX46"
"397"	"ILMN_1698995"	"DES"
"398"	"ILMN_1752478"	"DHRS3"
"399"	"ILMN_3187771"	"DHRS4-AS1"
"400"	"ILMN_3261811"	"DHRS4-AS1"
"401"	"ILMN_1737650"	"DIO2"
"402"	"ILMN_2375830"	"DIXDC1"
"403"	"ILMN_1736704"	"DIXDC1"
"404"	"ILMN_1773337"	"DKK1"
"405"	"ILMN_2174189"	"DKK1"
"406"	"ILMN_1698020"	"DLC1"
"407"	"ILMN_1754842"	"DLGAP4"
"408"	"ILMN_1736096"	"DLL3"
"409"	"ILMN_1776998"	"DNAJA4"
"410"	"ILMN_1775304"	"DNAJB1"
"411"	"ILMN_1793770"	"DNAJB6"
"412"	"ILMN_1773742"	"DNAJB9"
"413"	"ILMN_1812666"	"DNAJC15"
"414"	"ILMN_1702301"	"DOCK10"
"415"	"ILMN_1765860"	"DOCK11"
"416"	"ILMN_2180239"	"DOPEY2"
"417"	"ILMN_1672503"	"DPYSL2"
"418"	"ILMN_1679262"	"DPYSL3"
"419"	"ILMN_1706498"	"DSE"
"420"	"ILMN_2167915"	"DSEL"
"421"	"ILMN_1655614"	"DSP"
"422"	"ILMN_2287157"	"DST"
"423"	"ILMN_1794294"	"DSTN"
"424"	"ILMN_1783806"	"DTNBP1"
"425"	"ILMN_1740861"	"DTWD1"
"426"	"ILMN_2207816"	"DTWD1"
"427"	"ILMN_1781285"	"DUSP1"
"428"	"ILMN_2401878"	"DUSP10"
"429"	"ILMN_1666546"	"DUSP14"
"430"	"ILMN_1667578"	"DUSP26"
"431"	"ILMN_1797522"	"DUSP3"
"432"	"ILMN_2343310"	"DYNC2H1"
"433"	"ILMN_2374244"	"DYRK2"
"434"	"ILMN_1778681"	"EBF1"
"435"	"ILMN_2228938"	"ECM2"
"436"	"ILMN_1796629"	"EDNRA"
"437"	"ILMN_3251737"	"EEF1A1"
"438"	"ILMN_1789171"	"EEF2K"
"439"	"ILMN_1653203"	"EFEMP2"
"440"	"ILMN_1849494"	"EFR3B"
"441"	"ILMN_1798975"	"EGFR"
"442"	"ILMN_1749892"	"EGLN1"
"443"	"ILMN_1762899"	"EGR1"
"444"	"ILMN_1803348"	"EHBP1"
"445"	"ILMN_1651832"	"EHD1"
"446"	"ILMN_1808777"	"EHD2"
"447"	"ILMN_1671473"	"EHD3"
"448"	"ILMN_1704472"	"EID2"
"449"	"ILMN_1755537"	"EIF1AY"
"450"	"ILMN_1679324"	"EIF1B"
"451"	"ILMN_1706502"	"EIF2AK2"
"452"	"ILMN_1665717"	"EIF2S3"
"453"	"ILMN_1655497"	"EIF4B"
"454"	"ILMN_1815733"	"EIF5"
"455"	"ILMN_1655930"	"ELL2"
"456"	"ILMN_1763091"	"ELMSAN1"
"457"	"ILMN_1794560"	"EMC6"
"458"	"ILMN_2405592"	"EMC6"
"459"	"ILMN_1711439"	"EMILIN1"
"460"	"ILMN_1729455"	"EML1"
"461"	"ILMN_1772644"	"EML3"
"462"	"ILMN_1801616"	"EMP1"
"463"	"ILMN_1716552"	"ENAH"
"464"	"ILMN_2370296"	"ENAH"
"465"	"ILMN_1779147"	"ENC1"
"466"	"ILMN_1765796"	"ENO2"
"467"	"ILMN_1781761"	"ENPP4"
"468"	"ILMN_2166865"	"ENY2"
"469"	"ILMN_1654609"	"EPB41L4A-AS1"
"470"	"ILMN_3244583"	"EPB41L4A-AS1"
"471"	"ILMN_2043306"	"EPB41L5"
"472"	"ILMN_1770245"	"EPB41L5"
"473"	"ILMN_1651699"	"EPS8"
"474"	"ILMN_2388547"	"EPSTI1"
"475"	"ILMN_2229969"	"ERO1LB"
"476"	"ILMN_1773262"	"ESM1"
"477"	"ILMN_2212878"	"ESM1"
"478"	"ILMN_1761159"	"ESYT1"
"479"	"ILMN_1758034"	"ETFDH"
"480"	"ILMN_1696028"	"ETNK1"
"481"	"ILMN_2316778"	"ETNK1"
"482"	"ILMN_1789596"	"ETV6"
"483"	"ILMN_1702973"	"EVA1A"
"484"	"ILMN_3271098"	"EVA1A"
"485"	"ILMN_3194638"	"EVA1A"
"486"	"ILMN_1769092"	"EVA1B"
"487"	"ILMN_1730622"	"EVL"
"488"	"ILMN_1745271"	"EXOSC4"
"489"	"ILMN_1742866"	"F2R"
"490"	"ILMN_1728923"	"F2RL2"
"491"	"ILMN_2129572"	"F3"
"492"	"ILMN_2401779"	"FAM102A"
"493"	"ILMN_1758672"	"FAM107B"
"494"	"ILMN_1778845"	"FAM111A"
"495"	"ILMN_2410038"	"FAM111A"
"496"	"ILMN_1779486"	"FAM126B"
"497"	"ILMN_1810725"	"FAM129A"
"498"	"ILMN_1667966"	"FAM129A"
"499"	"ILMN_1661755"	"FAM129B"
"500"	"ILMN_2408576"	"FAM129B"
"501"	"ILMN_2387952"	"FAM134B"
"502"	"ILMN_1658160"	"FAM156A"
"503"	"ILMN_3244110"	"FAM156B"
"504"	"ILMN_3231638"	"FAM160B1"
"505"	"ILMN_1749868"	"FAM171A1"
"506"	"ILMN_1691946"	"FAM173B"
"507"	"ILMN_1761941"	"FAM198B"
"508"	"ILMN_1712684"	"FAM20C"
"509"	"ILMN_1708016"	"FAM210B"
"510"	"ILMN_1754538"	"FAM213A"
"511"	"ILMN_1700733"	"FAM214A"
"512"	"ILMN_2102960"	"FAM214A"
"513"	"ILMN_1706015"	"FAM43A"
"514"	"ILMN_1713266"	"FAM46C"
"515"	"ILMN_1726597"	"FAM65B"
"516"	"ILMN_3307791"	"FAM69A"
"517"	"ILMN_1670807"	"FAM84B"
"518"	"ILMN_3250592"	"FAM86A"
"519"	"ILMN_2400250"	"FAM86A"
"520"	"ILMN_1769532"	"FAM86B1"
"521"	"ILMN_1753482"	"FAM86C1"
"522"	"ILMN_3239168"	"FAM86C2P"
"523"	"ILMN_3236135"	"FAM86DP"
"524"	"ILMN_3239946"	"FAM86HP"
"525"	"ILMN_2285817"	"FAM89A"
"526"	"ILMN_1652677"	"FAM89A"
"527"	"ILMN_2143250"	"FAR1"
"528"	"ILMN_1678353"	"FARP1"
"529"	"ILMN_2319077"	"FAS"
"530"	"ILMN_1754795"	"FAT1"
"531"	"ILMN_3247578"	"FAT1"
"532"	"ILMN_1774602"	"FBLN2"
"533"	"ILMN_2390919"	"FBLN2"
"534"	"ILMN_1670899"	"FBN2"
"535"	"ILMN_1664826"	"FBXO33"
"536"	"ILMN_1754279"	"FBXW7"
"537"	"ILMN_2160929"	"FEN1"
"538"	"ILMN_1695290"	"FERMT2"
"539"	"ILMN_1805842"	"FHL1"
"540"	"ILMN_1668411"	"FHL2"
"541"	"ILMN_2355831"	"FHL2"
"542"	"ILMN_1703558"	"FHL3"
"543"	"ILMN_1651776"	"FHOD1"
"544"	"ILMN_1738578"	"FILIP1L"
"545"	"ILMN_2391150"	"FILIP1L"
"546"	"ILMN_1730906"	"FILIP1L"
"547"	"ILMN_3238221"	"FLJ42627"
"548"	"ILMN_1664922"	"FLNB"
"549"	"ILMN_1715748"	"FLNC"
"550"	"ILMN_1769615"	"FLRT2"
"551"	"ILMN_2091412"	"FLT3LG"
"552"	"ILMN_2204876"	"FLVCR2"
"553"	"ILMN_1764795"	"FMN2"
"554"	"ILMN_1797342"	"FNBP1"
"555"	"ILMN_2108938"	"FNBP4"
"556"	"ILMN_3253456"	"FNDC3B"
"557"	"ILMN_3178302"	"FNDC3B"
"558"	"ILMN_1751607"	"FOSB"
"559"	"ILMN_1704418"	"FOXD1"
"560"	"ILMN_2106902"	"FOXN3"
"561"	"ILMN_1681703"	"FOXO3"
"562"	"ILMN_1712095"	"FOXO4"
"563"	"ILMN_3307977"	"FOXO6"
"564"	"ILMN_2250923"	"FOXP1"
"565"	"ILMN_1682495"	"FOXP1"
"566"	"ILMN_1880280"	"FOXP1-IT1"
"567"	"ILMN_1734696"	"FRG1"
"568"	"ILMN_1678961"	"FRMD4A"
"569"	"ILMN_1769282"	"FRMD6"
"570"	"ILMN_2330787"	"FRMD6"
"571"	"ILMN_1808707"	"FSCN1"
"572"	"ILMN_1700081"	"FST"
