"PROBE_ID"	"Symbol"
"333"	"ILMN_1677292"	"C5orf30"
"334"	"ILMN_2232494"	"C5orf42"
"335"	"ILMN_1730048"	"C7orf26"
"336"	"ILMN_1656369"	"C8orf4"
"337"	"ILMN_1742074"	"C8orf76"
"338"	"ILMN_1700028"	"C9orf156"
"339"	"ILMN_1674629"	"C9orf3"
"340"	"ILMN_1741881"	"C9orf72"
"341"	"ILMN_1662795"	"CA2"
"342"	"ILMN_2199439"	"CA2"
"343"	"ILMN_1653001"	"CABLES1"
"344"	"ILMN_1762407"	"CABLES2"
"345"	"ILMN_1666775"	"CACNA1C"
"346"	"ILMN_1726574"	"CACYBP"
"347"	"ILMN_1812096"	"CADM4"
"348"	"ILMN_1665547"	"CADPS"
"349"	"ILMN_1748840"	"CALB2"
"350"	"ILMN_1717990"	"CALD1"
"351"	"ILMN_2324002"	"CALD1"
"352"	"ILMN_1730487"	"CALD1"
"353"	"ILMN_1766200"	"CALHM2"
"354"	"ILMN_1687858"	"CALM2"
"355"	"ILMN_1666385"	"CALM3"
"356"	"ILMN_1757210"	"CALML4"
"357"	"ILMN_2073592"	"CAND2"
"358"	"ILMN_1664012"	"CANT1"
"359"	"ILMN_1691237"	"CAP2"
"360"	"ILMN_1716057"	"CAPN2"
"361"	"ILMN_1798980"	"CAPZB"
"362"	"ILMN_2192281"	"CARD8"
"363"	"ILMN_1712532"	"CARD9"
"364"	"ILMN_1809477"	"CARHSP1"
"365"	"ILMN_1680134"	"CARM1"
"366"	"ILMN_2326509"	"CASP1"
"367"	"ILMN_2326512"	"CASP1"
"368"	"ILMN_2388155"	"CASP3"
"369"	"ILMN_1678454"	"CASP4"
"370"	"ILMN_2373763"	"CASP7"
"371"	"ILMN_2362974"	"CASP7"
"372"	"ILMN_1655191"	"CASZ1"
"373"	"ILMN_1651705"	"CAT"
"374"	"ILMN_2151739"	"CAT"
"375"	"ILMN_2149226"	"CAV1"
"376"	"ILMN_1687583"	"CAV1"
"377"	"ILMN_2360730"	"CAV2"
"378"	"ILMN_1658835"	"CAV2"
"379"	"ILMN_1685580"	"CBLB"
"380"	"ILMN_2073732"	"CBLL1"
"381"	"ILMN_1705433"	"CBLL1"
"382"	"ILMN_2053829"	"CBLN3"
"383"	"ILMN_1813400"	"CBR4"
"384"	"ILMN_2150352"	"CBWD5"
"385"	"ILMN_1724145"	"CBX4"
"386"	"ILMN_1801766"	"CCDC109B"
"387"	"ILMN_1751264"	"CCDC126"
"388"	"ILMN_1677239"	"CCDC14"
"389"	"ILMN_1806456"	"CCDC176"
"390"	"ILMN_2099586"	"CCDC28B"
"391"	"ILMN_1778478"	"CCDC28B"
"392"	"ILMN_1686920"	"CCDC58"
"393"	"ILMN_1662318"	"CCDC59"
"394"	"ILMN_1715662"	"CCDC80"
"395"	"ILMN_1669982"	"CCDC85A"
"396"	"ILMN_3248263"	"CCDC93"
"397"	"ILMN_1720048"	"CCL2"
"398"	"ILMN_1657234"	"CCL20"
"399"	"ILMN_1659601"	"CCL26"
"400"	"ILMN_2105573"	"CCL3L3"
"401"	"ILMN_2098126"	"CCL5"
"402"	"ILMN_1773352"	"CCL5"
"403"	"ILMN_1683456"	"CCL7"
"404"	"ILMN_1772964"	"CCL8"
"405"	"ILMN_2157099"	"CCNA1"
"406"	"ILMN_2409395"	"CCNC"
"407"	"ILMN_1676423"	"CCNC"
"408"	"ILMN_1798705"	"CCNC"
"409"	"ILMN_1688480"	"CCND1"
"410"	"ILMN_2067656"	"CCND2"
"411"	"ILMN_1667081"	"CCND2"
"412"	"ILMN_2374425"	"CCNE1"
"413"	"ILMN_2384785"	"CCNE1"
"414"	"ILMN_1795852"	"CCNE1"
"415"	"ILMN_2412384"	"CCNE2"
"416"	"ILMN_2206812"	"CCNJ"
"417"	"ILMN_1817255"	"CCNT1"
"418"	"ILMN_2261784"	"CCNY"
"419"	"ILMN_2166524"	"CCNYL1"
"420"	"ILMN_1810069"	"CCNYL1"
"421"	"ILMN_1773992"	"CCRL1"
"422"	"ILMN_1689378"	"CCRN4L"
"423"	"ILMN_1717868"	"CCT8"
"424"	"ILMN_1708604"	"CCZ1"
"425"	"ILMN_1713322"	"CCZ1B"
"426"	"ILMN_1726589"	"CD248"
"427"	"ILMN_1803429"	"CD44"
"428"	"ILMN_2348788"	"CD44"
